company_name,company_number,company_status,company_type,company_subtype,kind,links,date_of_creation,registered_office_address,sic_codes
RE-WATER CIC,13780211,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13780211'},2021-12-03,"{'address_line_1': 'Room 6, 1/F, 16 Matilda Street,', 'locality': 'Sheffield', 'postal_code': 'S1 4QD', 'country': 'England'}",['85520']
OPEN GATES OUTDOORS (COMMUNITY) CIC,14779862,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14779862'},2023-04-04,"{'address_line_1': '19 St. Ronans Road', 'locality': 'Sheffield', 'postal_code': 'S7 1DX', 'country': 'England'}",['93199']
RWE PROPERTY MANAGEMENT CIC,16140382,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16140382'},2024-12-17,"{'address_line_1': '49 John Hibbard Avenue', 'locality': 'Sheffield', 'postal_code': 'S13 9UT', 'country': 'England'}",['98000']
ROTHERHAM BROADCASTING CIC,13003287,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13003287'},2020-11-06,"{'address_line_1': '81 Serlby Lane', 'address_line_2': 'Harthill', 'locality': 'Sheffield', 'postal_code': 'S26 7ZD', 'country': 'England'}",['60100']
CNPAF UK CIC,15293689,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15293689'},2023-11-20,"{'address_line_1': '6 Godric Road', 'locality': 'Sheffield', 'postal_code': 'S5 0AJ', 'country': 'England'}",['87200']
METTLE WAY SERVICES CIC,15299642,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15299642'},2023-11-21,"{'address_line_1': '122 Springfield Road', 'locality': 'Sheffield', 'postal_code': 'S7 2GF', 'country': 'England'}",['93110']
NOUGHTCROSS HAUS CIC,15417654,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15417654'},2024-01-16,"{'address_line_1': '6 Tylney Road', 'locality': 'Sheffield', 'postal_code': 'S2 2RY', 'country': 'England'}","['85590', '85600']"
UNITY OUTREACH HUB CIC,15221763,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15221763'},2023-10-19,"{'address_line_1': '18 Exchange Street', 'locality': 'Sheffield', 'postal_code': 'S2 5TS', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['88990']
CTROVE C.I.C.,15579108,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15579108'},2024-03-20,"{'address_line_1': '173 Hoole Street', 'locality': 'Sheffield', 'postal_code': 'S6 2WS', 'country': 'England'}",['85590']
WHEN WOMEN SPEAK GLOBAL NETWORK CIC,12507236,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12507236'},2020-03-10,"{'address_line_1': '61 Norton Park View', 'locality': 'Sheffield', 'postal_code': 'S8 8GT', 'country': 'England'}",['82302']
MOTION EXERCISE CIC,13870099,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13870099'},2022-01-25,"{'address_line_1': 'Kroto Innovation Centre North Campus', 'address_line_2': '318 Broad Lane', 'locality': 'Sheffield', 'postal_code': 'S3 7HQ', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['86900']
TRENT REGIONAL OPHTHALMIC SOCIETY (TROPHY) C.I.C.,10629296,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10629296'},2017-02-20,"{'address_line_1': '194 Totley Brook Road', 'locality': 'Sheffield', 'postal_code': 'S17 3QY', 'region': 'South Yorkshire'}",['85590']
THE NURTURE COLLECTIVE CIC,14826397,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14826397'},2023-04-25,"{'address_line_1': '2a Harvey Clough Road', 'locality': 'Sheffield', 'postal_code': 'S8 8PE', 'country': 'England'}",['86900']
HEADING 4 GOALS CIC,16090646,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16090646'},2024-11-20,"{'address_line_1': ""Queen's Chambers"", 'address_line_2': '68 Queen Street', 'locality': 'Sheffield', 'postal_code': 'S1 1WR'}",['85310']
WHITE RED EAGLE C.I.C.,15420190,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15420190'},2024-01-17,"{'address_line_1': '8 Melville Drive', 'locality': 'Sheffield', 'postal_code': 'S2 1DX', 'country': 'England'}",['88990']
DINNINGTON COMMUNITY LAND TRUST CIC,12497528,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12497528'},2020-03-04,"{'address_line_1': 'C/O Dinnington Town Council Laughton Road', 'address_line_2': 'Dinnington', 'locality': 'Sheffield', 'postal_code': 'S25 2PS', 'country': 'England'}",['68201']
LONDON COMMUNITY ACTION C.I.C.,08980044,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08980044'},2014-04-04,"{'address_line_1': '44 44 Boyce Street', 'locality': 'Sheffield', 'postal_code': 'S6 3JS', 'region': 'South Yorkshire', 'country': 'England'}",['85590']
LICK OF PAINT FESTIVAL C.I.C.,15323730,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15323730'},2023-12-03,"{'address_line_1': '90 Stevenson Road', 'locality': 'Sheffield', 'postal_code': 'S9 3XG', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['90030']
COMMUNITY MUSIC MAKERS CIC,15621032,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15621032'},2024-04-06,"{'address_line_1': 'Soar Works Enterprise Centre', 'address_line_2': '14 Knutton Road', 'locality': 'Sheffield', 'postal_code': 'S5 9NU', 'country': 'England'}",['85520']
PERFORMING ARTS 4 ALL CIC,15438566,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15438566'},2024-01-24,"{'address_line_1': '12 Calner Croft', 'address_line_2': 'Sothall', 'locality': 'Sheffield', 'postal_code': 'S20 2PY', 'country': 'England'}","['85510', '90010']"
"CHILDREN, JUSTICE AND PEACE GLOBAL CIC",16241636,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16241636'},2025-02-10,"{'address_line_1': '1 Acorn Court', 'address_line_2': 'Oughtibridge', 'locality': 'Sheffield', 'postal_code': 'S35 0BG', 'country': 'England'}",['88990']
INNERCITYHEALERS CIC,16245538,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16245538'},2025-02-11,"{'address_line_1': '109 Rock Street', 'locality': 'Sheffield', 'postal_code': 'S3 9JB', 'country': 'England'}",['88990']
MODE.LYF CIC,16243856,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16243856'},2025-02-11,"{'address_line_1': '5 Downham Road', 'locality': 'Sheffield', 'postal_code': 'S5 6QB', 'country': 'England'}","['79110', '93199', '93290']"
NATURAL SCIENCES GROUP C.I.C.,14511682,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14511682'},2022-11-29,"{'address_line_1': '149 Holme Lane', 'locality': 'Sheffield', 'postal_code': 'S6 4JR', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['91020']
THE DIGITAL FORGE YORKSHIRE CIC,16273931,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16273931'},2025-02-25,"{'address_line_1': '11 Paradise Square', 'locality': 'Sheffield', 'postal_code': 'S1 2DE', 'country': 'England'}",['82990']
COACHING COMMUNITIES CIC,12556106,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12556106'},2020-04-15,"{'address_line_1': '122 Springfield Road', 'locality': 'Sheffield', 'postal_code': 'S7 2GF', 'country': 'England'}",['70229']
BEYOND BORDERS FOR PEACE C.I.C.,16276270,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16276270'},2025-02-25,"{'address_line_1': ""Unit 7 Twelve O'Clock Court"", 'address_line_2': '21 Attercliffe Road', 'locality': 'Sheffield', 'postal_code': 'S4 7WW', 'country': 'England'}",['85590']
SUICIDE SUCKS CIC,15539335,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15539335'},2024-03-04,"{'address_line_1': '8 Chauntry Avenue', 'address_line_2': 'Penistone', 'locality': 'Sheffield', 'postal_code': 'S36 6EE', 'country': 'England'}","['59112', '90010']"
THE BRIDGE COMMUNITY SHOP C.I.C.,15466611,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15466611'},2024-02-05,"{'address_line_1': '12 Sycamore Road', 'address_line_2': 'Stocksbridge', 'locality': 'Sheffield', 'postal_code': 'S36 1FS'}",['47799']
ON THE BRINK CO-HOUSING COMMUNITY INTEREST COMPANY,09144354,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09144354'},2014-07-23,"{'address_line_1': 'Brincliffe House', 'address_line_2': '90 Osborne Road', 'locality': 'Sheffield', 'postal_code': 'S11 9BB', 'country': 'England'}",['68209']
MARVEL PROJECTS UK CIC,14177838,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14177838'},2022-06-16,"{'address_line_1': '60a Station Road', 'address_line_2': 'Kiveton Park', 'locality': 'Sheffield', 'postal_code': 'S26 6QQ', 'region': 'South Yorkshire'}","['41100', '85590']"
KIDOLOGY ARTS COMMUNITY INTEREST COMPANY,10329605,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10329605'},2016-08-15,"{'address_line_1': '39 Bingham Park Road', 'locality': 'Sheffield', 'postal_code': 'S11 7BD', 'region': 'South Yorkshire'}","['90010', '90030']"
YOUR PET FOOD BANK CIC,14091297,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14091297'},2022-05-06,"{'address_line_1': '27 Skipton Road', 'address_line_2': 'Swallownest', 'locality': 'Sheffield', 'postal_code': 'S26 4NQ', 'country': 'England'}","['56290', '88990']"
PERFORMING ARTS NORTH C.I.C.,09384872,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09384872'},2015-01-12,"{'address_line_1': '21 Blayton Rd', 'locality': 'Sheffield', 'postal_code': 'S4 7DH', 'region': 'South Yorkshire'}",['90020']
TSD GYMNASTICS ACADEMY CIC,13356706,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13356706'},2021-04-26,"{'address_line_1': '8 Orgreave Drive', 'locality': 'Sheffield', 'postal_code': 'S13 9NR', 'country': 'England'}","['90010', '93120']"
FUTURE OUTREACH PROJECT CIC,15494928,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15494928'},2024-02-16,"{'address_line_1': 'Spartan Works', 'address_line_2': '20 Carlisle Street', 'locality': 'Sheffield', 'postal_code': 'S4 7LJ', 'country': 'England'}",['88910']
COVENANT PRAYING YOUTHS CIC,15530033,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15530033'},2024-02-28,"{'address_line_1': '7 Castle Street', 'locality': 'Sheffield', 'postal_code': 'S3 8LT', 'country': 'England'}",['94910']
YOUTH ON DUTY CIC,14737791,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14737791'},2023-03-17,"{'address_line_1': '53 Scotia Drive', 'locality': 'Sheffield', 'postal_code': 'S2 1HN', 'country': 'England'}","['85510', '85520', '93199']"
AFFINITY 2020 CIC,12409413,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12409413'},2020-01-17,"{'address_line_1': '205 Outgang Lane', 'address_line_2': 'Dinnington', 'locality': 'Sheffield', 'postal_code': 'S25 3QY', 'country': 'England'}",['85600']
UIS COMMUNITY GYM - CIC,12615290,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12615290'},2020-05-20,"{'address_line_1': '685 Chesterfield Road', 'locality': 'Sheffield', 'postal_code': 'S8 0SL', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['93130']
BANNER REPEATER C.I.C.,09589390,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09589390'},2015-05-13,"{'address_line_1': 'The Old Workshop', 'address_line_2': '1 Ecclesall Road South', 'locality': 'Sheffield', 'postal_code': 'S11 9PA', 'country': 'England'}","['82301', '90040']"
NOVA - NORTHERN STAR CIC,14665460,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14665460'},2023-02-15,"{'address_line_1': '468 Shoreham Street', 'locality': 'Sheffield', 'postal_code': 'S2 4FD', 'country': 'England'}",['81100']
SAFE ALTERNATIVE CENTRE C.I.C.,09610807,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09610807'},2015-05-27,"{'address_line_1': '62 Market Street, Office B5', 'address_line_2': 'Eckington', 'locality': 'Sheffield', 'postal_code': 'S21 4JH', 'country': 'England'}","['85510', '85600', '88910', '88990']"
PERCY STREET COLLECTIVE CIC,14128972,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14128972'},2022-05-24,"{'address_line_1': '117 Albyn Works', 'address_line_2': 'Percy Street', 'locality': 'Sheffield', 'postal_code': 'S3 8BT', 'country': 'United Kingdom'}","['31090', '74100', '85590']"
CARE FOR YOUNG PEOPLE'S FUTURE CIC,12037929,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12037929'},2019-06-07,"{'address_line_1': '40 Manor Park Drive', 'locality': 'Sheffield', 'postal_code': 'S2 1WS', 'country': 'United Kingdom'}","['82990', '85320', '85510', '85600']"
ACTIVE EDUCATION ALTERNATIVE PROVISION CIC,14149382,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14149382'},2022-06-06,"{'address_line_1': '865 Firshill Crescent', 'locality': 'Sheffield', 'postal_code': 'S4 7DW', 'country': 'England'}","['85510', '85590']"
VOICE OF GOD FELLOWSHIP CIC,14476346,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14476346'},2022-11-10,"{'address_line_1': '1 Dominoe Grove', 'locality': 'Sheffield', 'postal_code': 'S12 2DJ', 'country': 'England'}",['94910']
CDK INCORPORATION CIC,15866399,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15866399'},2024-07-30,"{'address_line_1': 'Unit 6 Kiveton Park Industrial Estate Manor Road', 'address_line_2': 'Kiveton Park Station', 'locality': 'Sheffield', 'postal_code': 'S26 6PB', 'country': 'England'}",['62020']
RIVERLUTION BY RSC CIC,14249054,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14249054'},2022-07-21,"{'address_line_1': 'Unit 1 2 Sanderson Street', 'locality': 'Sheffield', 'postal_code': 'S9 2TW', 'country': 'England'}","['85320', '85590']"
FORGE LANE RECREATION GROUND COMMUNITY INTEREST COMPANY,15874326,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15874326'},2024-08-03,"{'address_line_1': 'Forge Lane Recreation Ground, Forge Lane', 'address_line_2': 'Oughtibridge', 'locality': 'Sheffield', 'postal_code': 'S35 0GG', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['77210']
DAISY CHAINS PRE-SCHOOL (THURLSTONE & MILLHOUSE) C.I.C.,06281537,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/06281537'},2007-06-15,"{'address_line_1': 'C/O Thurlstone Primary School', 'address_line_2': 'Royd Moor Road, Thurlstone', 'locality': 'Sheffield', 'postal_code': 'S36 9RD', 'region': 'South Yorkshire'}",['85100']
GOODGRAINS INCORPORATED C.I.C.,15807551,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15807551'},2024-06-28,"{'address_line_1': '65 Edenthorpe Grove', 'address_line_2': 'Owlthorpe', 'locality': 'Sheffield', 'postal_code': 'S20 6TG', 'country': 'England'}","['85520', '90010', '90020', '90030']"
CIRCUSWORKS COMMUNITY INTEREST COMPANY,10231764,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10231764'},2016-06-14,"{'address_line_1': 'St Thomas Building', 'address_line_2': 'Holywell Road', 'locality': 'Sheffield', 'postal_code': 'S4 8AS', 'country': 'England'}",['96090']
BILBY SUPPORT CIC,14974948,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14974948'},2023-07-03,"{'address_line_1': 'J.S.Bethell & Co, 70 Clarkehouse Rd', 'address_line_2': 'Broomhall', 'locality': 'Sheffield', 'postal_code': 'S10 2LJ'}",['85600']
THE GERANIUM HUB CIC,15911782,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15911782'},2024-08-22,"{'address_line_1': '86 Jenkin Avenue', 'locality': 'Sheffield', 'postal_code': 'S9 1AP', 'country': 'England'}",['85590']
COMMUNI LINK CIC,15931486,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15931486'},2024-09-03,"{'address_line_1': '53 Becket Road', 'locality': 'Sheffield', 'postal_code': 'S8 7HD', 'country': 'England'}",['85590']
SCULPT COMMUNITY C.I.C.,13001605,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13001605'},2020-11-06,"{'address_line_1': '10 Thornborough Close', 'locality': 'Sheffield', 'postal_code': 'S2 3PE', 'country': 'England'}","['93130', '96040']"
MOUNT PLEASANT PARK FC CIC,14362820,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14362820'},2022-09-18,"{'address_line_1': '3 Heron Close', 'locality': 'Sheffield', 'postal_code': 'S2 5DS', 'country': 'England'}",['93199']
SHELTERED STABILITY CIC,15947566,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15947566'},2024-09-10,"{'address_line_1': '43 Meadowsweet Close', 'locality': 'Sheffield', 'postal_code': 'S9 1RP', 'country': 'United Kingdom'}",['68320']
WARM HEARTS 2 HEAL CIC,14285303,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14285303'},2022-08-09,"{'address_line_1': '4 Cinder Hill Lane', 'address_line_2': 'Grenoside', 'locality': 'Sheffield', 'postal_code': 'S35 8NG', 'country': 'England'}",['01490']
AFRICAN VOICES PLATFORM C.I.C.,13035781,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13035781'},2020-11-20,"{'address_line_1': 'C/O Sheffield Live', 'address_line_2': '15 Paternoster Row', 'locality': 'Sheffield', 'postal_code': 'S1 2BX', 'country': 'England'}","['60100', '60200', '70210']"
MY LIFE PROJECT CIC,08771955,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08771955'},2013-11-12,"{'address_line_1': 'Soar Works Enterprise Centre', 'address_line_2': 'Knutton Road', 'locality': 'Sheffield', 'postal_code': 'S5 9NU'}",['90030']
CONNECTIONS HOUSING CIC,12106021,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12106021'},2019-07-16,"{'address_line_1': '427-431 London Road', 'locality': 'Sheffield', 'postal_code': 'S2 4HJ', 'country': 'England'}",['82990']
SHEFFIELD SUDANESE SCHOOL CIC,14943288,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14943288'},2023-06-19,"{'address_line_1': '305 Greenland Way', 'locality': 'Sheffield', 'postal_code': 'S9 5GG', 'country': 'England'}",['85590']
THE SPORT AND HEALTH HUB CIC,14521717,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14521717'},2022-12-02,"{'address_line_1': '12a Beauchief Manor 444 Abbey Lane', 'locality': 'Sheffield', 'postal_code': 'S8 0BF', 'country': 'England'}","['85510', '86900', '93110', '93120']"
TSD MARTIAL ARTS & URBAN SPORTS CIC,09263987,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09263987'},2014-10-14,"{'address_line_1': '8a Orgreave Drive', 'address_line_2': 'Handsworth', 'locality': 'Sheffield', 'postal_code': 'S13 9NR'}",['93130']
THE BOAT: BUILDING ON AMBITIONS TOGETHER COMMUNITY INTEREST COMPANY,15955850,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15955850'},2024-09-13,"{'address_line_1': '62 Fawcett Street', 'locality': 'Sheffield', 'postal_code': 'S3 7PN', 'country': 'England'}",['85600']
CS COMMUNITY COACHING CIC,15977022,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15977022'},2024-09-25,"{'address_line_1': '981 Ecclesall Road', 'locality': 'Sheffield', 'postal_code': 'S11 8TN', 'country': 'England'}",['93120']
COMMUNITY BUSINESS SUPPORT NETWORK CIC,13690694,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13690694'},2021-10-20,"{'address_line_1': 'The Old Church 19, Rotherham Road', 'address_line_2': 'Swallownest', 'locality': 'Sheffield', 'postal_code': 'S26 4UR', 'region': 'South Yorkshire', 'country': 'United Kingdom'}","['70229', '85600', '94990']"
CULTURAL INCLUSIVE C.I.C.,15834535,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15834535'},2024-07-12,"{'address_line_1': '12 New Era Square', 'locality': 'Sheffield', 'postal_code': 'S2 4BF', 'country': 'England'}",['56210']
VOYAGER ART SPACE COMMUNITY INTEREST COMPANY,15849960,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15849960'},2024-07-22,"{'address_line_1': '473 Manchester Road', 'address_line_2': 'Stocksbridge', 'locality': 'Sheffield', 'postal_code': 'S36 1DH', 'country': 'England'}","['46180', '47781', '85520']"
SHEFFIELD ARTIST MAKER EXCHANGE CIC,15832659,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15832659'},2024-07-11,"{'address_line_1': '108 Prospect Road', 'locality': 'Sheffield', 'postal_code': 'S2 3EN', 'country': 'United Kingdom'}","['16230', '74100', '90040']"
ALL4U COMMUNITY INTEREST COMPANY,12985216,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12985216'},2020-10-30,"{'address_line_1': '6 Wentworth Avenue', 'address_line_2': 'Aston', 'locality': 'Sheffield', 'postal_code': 'S26 2EN', 'country': 'England'}",['93199']
MYLIFE DISABILITY HUB CIC,14795871,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14795871'},2023-04-12,"{'address_line_1': '16 Adlington Road', 'locality': 'Sheffield', 'postal_code': 'S5 8BR', 'country': 'England'}","['85590', '88990', '93290', '96040']"
VALLEY YOUTH HUB CIC,15980023,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15980023'},2024-09-26,"{'address_line_1': '17 Spring Close Mount', 'locality': 'Sheffield', 'postal_code': 'S14 1RB', 'country': 'England'}","['82301', '88910', '93290']"
SHEFFIELD THERAPY COLLECTIVE COMMUNITY INTEREST COMPANY,15978977,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15978977'},2024-09-25,"{'address_line_1': '38 Bank Street', 'locality': 'Sheffield', 'postal_code': 'S1 2DS', 'country': 'England'}",['86900']
MODIFY THE VAN CIC,13739009,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13739009'},2021-11-11,"{'address_line_1': '29 Granby Road', 'locality': 'Sheffield', 'postal_code': 'S5 6WD', 'country': 'England'}","['90010', '90020', '90030']"
CRICKET ARENA CIC,14549024,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14549024'},2022-12-19,"{'address_line_1': 'Community Stadium Community Stadium', 'address_line_2': 'Worksop Road', 'locality': 'Sheffield', 'postal_code': 'S9 3TL', 'country': 'England'}","['47640', '59112', '93199']"
THE GREEN ESTATE COMMUNITY INTEREST COMPANY,04801730,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/04801730'},2003-06-17,"{'address_line_1': 'Manor Oaks Farmhouse', 'address_line_2': '389 Manor Lane', 'locality': 'Sheffield', 'postal_code': 'S2 1UL', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['81300']
FIX UP RUNNING CLUB CIC,15927074,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15927074'},2024-08-30,"{'address_line_1': 'Unit 9c The Old Dairy', 'address_line_2': 'Broadfield Road', 'locality': 'Sheffield', 'postal_code': 'S8 0XQ', 'country': 'England'}","['85510', '85590']"
SHEFFIELD & DISTRICT JUNIOR FOOTBALL LEAGUE COMMUNITY INTEREST COMPANY,09750890,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09750890'},2015-08-26,"{'address_line_1': '16 - 18 Station Road Station Road', 'address_line_2': 'Chapeltown', 'locality': 'Sheffield', 'postal_code': 'S35 2XH', 'country': 'England'}",['93199']
INSPIRE FOOTBALLL ACADEMY CIC,16080065,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16080065'},2024-11-14,"{'address_line_1': '27 Britnall Street', 'locality': 'Sheffield', 'postal_code': 'S9 3SY', 'country': 'England'}",['85510']
CAPOEIRA AREIA DO MAR C.I.C.,14542681,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14542681'},2022-12-15,"{'address_line_1': '72 Hunter House Road', 'locality': 'Sheffield', 'postal_code': 'S11 8TW', 'country': 'England'}","['85520', '90010', '93199']"
BUSINESS BOOSTERS NETWORK COMMUNITY INTEREST COMPANY,05966500,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/05966500'},2006-10-13,"{'address_line_1': 'Office 8 Syac Business Centre', 'address_line_2': '110-120 Wicker', 'locality': 'Sheffield', 'postal_code': 'S3 8JD', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['86900']
AND OTHER STORIES PUBLISHING C.I.C.,07140962,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/07140962'},2010-01-29,"{'address_line_1': 'C/O Royston Parkin Ltd 2 President Buildings', 'address_line_2': 'Savile Street East', 'locality': 'Sheffield', 'postal_code': 'S4 7UQ', 'country': 'United Kingdom'}",['58110']
FAMILY VOICE SHEFFIELD C.I.C.,11520784,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11520784'},2018-08-16,"{'address_line_1': 'Common Ground Community Centre', 'address_line_2': 'Machon Bank', 'locality': 'Sheffield', 'postal_code': 'S7 1GR', 'country': 'England'}","['56103', '63990', '85600', '88990']"
CHAD FUTURE IMPACT CIC,16041878,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16041878'},2024-10-25,"{'address_line_1': '63 Pearl Street', 'locality': 'Sheffield', 'postal_code': 'S11 8FF', 'country': 'England'}","['85510', '85520', '85600', '93290']"
ALPHA AND OMEGA CHURCH CIC,14620153,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14620153'},2023-01-27,"{'address_line_1': 'V1 The Hope Centre', 'address_line_2': 'Bernard Road', 'locality': 'Sheffield', 'postal_code': 'S2 5BQ', 'country': 'United Kingdom'}","['85520', '88100', '94910', '96030']"
CARTOON DRAWING CLUB C.I.C.,14520870,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14520870'},2022-12-02,"{'address_line_1': '30 Rowborn Drive', 'locality': 'Sheffield', 'postal_code': 'S35 0JR', 'region': 'South Yorkshire', 'country': 'England'}",['90030']
